RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31
394808,162,"Lubbock, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,243450.0,299900.0,292450.0,286450.0,287025.0,296500.0,273225.0,319900.0,351000.0,307500.0,349900.0,362450.0,272970.0,307587.5,268430.5,311425.0,295155.0,302810.0,339000.0,322500.0,335000.0,322811.0,307555.0,295495.0,315000.0,348950.0,355000.0,310500.0,306888.5,334000.0,373000.0,329495.0,310650.0,300000.0,350725.0,324357.5,280200.0,299592.0,325847.0,310000.0,325000.0,308425.0,350815.0,312445.0,294210.0,274035.0,255000.0,279995.0
394471,163,"Clarksville, TN",msa,TN,180000.0,215950.0,189000.0,223025.0,219950.0,239900.0,229900.0,229900.0,219945.0,227500.0,223200.0,247880.0,244900.0,229945.0,240736.0,233600.0,245300.0,244900.0,255395.0,254900.0,259895.0,237000.0,262900.0,260000.0,254900.0,263990.0,257040.0,255500.0,264900.0,269900.0,259400.0,256900.0,254950.0,260900.0,270000.0,265450.0,276900.0,260000.0,262400.0,274900.0,287650.0,286900.0,302848.0,299700.0,322500.0,310000.0,336000.0,336900.0,332700.0,342000.0,340450.0,361900.0,360877.5,351750.0,366000.0,362450.0,365700.0,359900.0,386250.0,331250.0,370000.0,375000.0,335000.0,360000.0,359900.0,334900.0,334900.0,350000.0,311400.0,339900.0,365450.0,341600.0,371250.0
394741,168,"Kennewick, WA",msa,WA,329000.0,336250.5,328807.0,359227.0,344519.5,386097.0,375000.0,399900.0,346200.0,344900.0,338528.5,400006.0,432000.0,339831.0,326825.0,383265.0,372171.0,384997.5,349388.5,401180.5,370322.0,404900.0,427000.0,378000.0,375000.0,354513.5,365000.0,346616.0,323050.0,421195.0,364351.0,414110.0,463125.0,380850.0,356500.0,361800.0,393500.0,387500.0,409500.0,416850.0,415243.5,392850.0,432051.0,454180.0,436997.0,443901.5,462010.5,564000.0,499200.0,539000.0,530007.5,504850.0,488057.5,501450.0,515251.0,527640.5,580261.0,518000.0,539445.0,545102.0,561643.5,523130.0,552900.0,534000.0,518750.0,514155.0,504850.0,482425.0,467320.0,430000.0,504850.0,495000.0,505900.0
394660,170,"Hagerstown, MD",msa,MD,,,,,,,,,,,,,,,,,,,,,,,,,,247450.0,239950.0,232250.0,226700.0,240000.0,224900.0,255000.0,258972.5,269990.0,270000.0,280900.0,294900.0,285000.0,298450.0,287900.0,310000.0,283900.0,316450.0,297470.0,305000.0,318900.0,335190.0,338624.0,330900.0,339990.0,342382.5,319770.0,332500.0,357450.0,393050.0,355000.0,326619.5,372835.0,319990.0,348990.0,312990.0,340000.0,349900.0,322790.0,349995.0,337500.0,353670.0,346372.5,332064.0,344900.0,317450.0,310055.0,316000.0
394937,172,"Olympia, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570500.0,549950.0,549950.0,509980.0,549980.0,596950.0,554995.0,561570.0,447475.0,531385.0,568015.0,550995.0
395229,174,"Wilmington, NC",msa,NC,281500.0,302000.0,295750.0,303332.5,322000.0,314250.0,318000.0,342000.0,311250.0,300000.0,358750.0,362500.0,342000.0,297000.0,300000.0,352450.0,344250.0,325000.0,319000.0,332500.0,351911.0,308657.5,357075.0,358106.5,256637.5,296350.0,310000.0,371670.5,340500.0,319000.0,329900.0,343822.0,341485.0,345000.0,349900.0,320725.0,298025.0,317575.0,344250.0,359000.0,367990.0,336500.0,326494.0,384900.0,367161.0,359990.0,395395.0,421750.0,386490.0,432750.0,388052.0,407060.0,436280.0,471820.0,433900.0,456833.5,468000.0,489900.0,478112.0,507750.0,425057.0,487085.0,501250.0,480000.0,469900.0,495900.0,500055.0,479000.0,522500.0,511444.0,460000.0,448519.0,400000.0
753875,176,"Crestview, FL",msa,FL,339600.0,316000.0,379000.0,312800.0,403000.0,416063.0,347600.0,339900.0,358501.0,330000.0,349900.0,319975.0,281900.0,283900.0,324900.0,340475.0,353020.0,344900.0,338400.0,399800.0,352434.0,328197.5,318300.0,368900.0,349900.0,335950.0,335000.0,369900.0,329500.0,424400.0,449900.0,490150.0,482500.0,414533.5,422616.0,380900.0,342700.0,311786.0,350600.0,411900.0,445000.0,379000.0,369000.0,431364.0,378450.0,475000.0,426900.0,400000.0,459900.0,399495.0,437848.0,398200.0,414100.0,463575.0,479900.0,484644.0,422500.0,459900.0,507800.0,449900.0,425000.0,449000.0,400450.0,419308.5,431000.0,425000.0,394000.0,399900.0,425000.0,400911.5,384920.0,387080.0,404990.0
395197,178,"Waco, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331000.0,354000.0,327755.0,356612.5,290000.0,311500.0,348450.0,295725.0,384750.0,355595.5,357500.0,347130.0
394412,181,"Bremerton, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519950.0,428580.875,481888.0,484000.0,451925.0,472425.0,457500.0,445900.0,468888.0,497500.0,507174.0,509950.0,544950.0,499950.0,525000.0,509950.0,509900.0,512900.0,599950.0,521475.0,585950.0,629975.0,599950.0,644091.0,603237.5,641627.0,629018.5,599900.0,599834.5,666015.0,569970.0,562225.0,593500.0,526156.0,554970.0,629670.5,570017.5,574950.0,599990.0,599990.0,618992.5,605000.0,599970.0,606795.0,566010.5
395171,188,"Tuscaloosa, AL",msa,AL,238137.5,198500.0,362900.0,200835.0,209900.0,225800.0,105000.0,198430.0,214900.0,183000.0,209332.5,258400.0,192900.0,177450.0,200640.0,196595.0,240050.0,207168.0,187900.0,224900.0,262500.0,218395.0,213460.0,223900.0,222400.0,241900.0,224795.0,214800.0,209795.0,249395.0,230545.0,252045.0,249000.0,245295.0,230780.0,267484.0,209900.0,273150.0,277675.0,274900.0,263100.0,256900.0,287500.0,299700.0,284870.5,266147.5,286400.0,271400.0,251697.5,283595.0,298277.5,282100.0,295900.0,317370.0,344900.0,330000.0,322000.0,299900.0,320000.0,301000.0,293697.5,310900.0,304100.0,279900.0,300000.0,301915.0,269900.0,263950.0,259900.0,253145.0,245700.0,254900.0,288900.0
