,Date,demand_supply_ratio
0,2018-04-30,0.1146938290912515
1,2018-05-31,0.12099515354718543
2,2018-06-30,0.11895689090183471
3,2018-07-31,0.11541492204549388
4,2018-08-31,0.11026122400846547
5,2018-09-30,0.10369489137729267
6,2018-10-31,0.09851498546552274
7,2018-11-30,0.09290635702220928
8,2018-12-31,0.09076769356692557
9,2019-01-31,0.09182017560317769
10,2019-02-28,0.09812327085401455
11,2019-03-31,0.11224949434209806
12,2019-04-30,0.12290506514273301
13,2019-05-31,0.12912238129826895
14,2019-06-30,0.1288547145788819
15,2019-07-31,0.1267738624450719
16,2019-08-31,0.12371904618243804
17,2019-09-30,0.11956899862851936
18,2019-10-31,0.11827827463147297
19,2019-11-30,0.11516973725763471
20,2019-12-31,0.1136358910496487
21,2020-01-31,0.11479870032865253
22,2020-02-29,0.1254302103250478
23,2020-03-31,0.13442311680695707
24,2020-04-30,0.13066203979829746
25,2020-05-31,0.13643426131424852
26,2020-06-30,0.15405053079549175
27,2020-07-31,0.17511448612966146
28,2020-08-31,0.18420599553253003
29,2020-09-30,0.1894709615576267
30,2020-10-31,0.19332184774545624
31,2020-11-30,0.19334969221998324
32,2020-12-31,0.18697516824630325
33,2021-01-31,0.19967010515096434
34,2021-02-28,0.2210058045849326
35,2021-03-31,0.25256785714574403
36,2021-04-30,0.26296071700606644
37,2021-05-31,0.26848989145807345
38,2021-06-30,0.26184266887550556
39,2021-07-31,0.25165664373772184
40,2021-08-31,0.24445788535269666
41,2021-09-30,0.23729288988339994
42,2021-10-31,0.24015782099748526
43,2021-11-30,0.24256319871012336
44,2021-12-31,0.24569448261575397
45,2022-01-31,0.25091905855121577
46,2022-02-28,0.2574651464225513
47,2022-03-31,0.27294625054425925
48,2022-04-30,0.2726742901806195
49,2022-05-31,0.26502963140936975
50,2022-06-30,0.2401182588128902
51,2022-07-31,0.21912631936768978
52,2022-08-31,0.20605488777762157
53,2022-09-30,0.196574248416802
54,2022-10-31,0.1872809775637918
55,2022-11-30,0.17045479171975522
56,2022-12-31,0.16087661782004306
57,2023-01-31,0.16767681362470205
58,2023-02-28,0.18524810004883407
59,2023-03-31,0.20735894660145524
60,2023-04-30,0.21855921219059937
61,2023-05-31,0.22490838782988748
62,2023-06-30,0.22176561372026493
63,2023-07-31,0.2154443396211801
64,2023-08-31,0.20425819321176047
65,2023-09-30,0.19124232861655338
66,2023-10-31,0.17855451279559567
67,2023-11-30,0.16436625002468258
68,2023-12-31,0.15753656318781709
69,2024-01-31,0.16035107234667317
