RegionID,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,SizeRank,RegionName,RegionType,StateName,lat,lng
394297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05333333333333334,0.04195804195804196,0.07692307692307693,677,"Aberdeen, SD",msa,SD,45.4649805,-98.487813
394298,0.1649331352154532,0.17543859649122806,0.17161290322580644,0.17177914110429449,0.16293532338308458,0.16538461538461538,0.153737658674189,0.15503875968992248,0.14727272727272728,0.15478615071283094,0.16143497757847533,0.1721311475409836,0.17391304347826086,0.17307692307692307,0.18181818181818182,0.18758620689655173,0.18972332015810275,0.18442622950819673,0.17979197622585438,0.17881944444444445,0.1816326530612245,0.1873589164785553,0.1957040572792363,0.20093457943925233,0.18689320388349515,0.20601851851851852,0.2383073496659243,0.2785571142284569,0.2988505747126437,0.30648330058939094,0.3091684434968017,0.2916666666666667,0.28328611898017,0.29253731343283584,0.313953488372093,0.32935560859188545,0.3232104121475054,0.30341113105924594,0.29838709677419356,0.27837837837837837,0.27743526510480887,0.2704626334519573,0.2780612244897959,0.26905829596412556,0.25547445255474455,0.2484725050916497,0.2612244897959184,0.2724014336917563,0.26517571884984026,0.24864130434782608,0.22011834319526627,0.19423692636072573,0.1790437436419125,0.17427385892116182,0.16648531011969533,0.1558282208588957,0.13802816901408452,0.13592233009708737,0.15345699831365936,0.17891373801916932,0.1950509461426492,0.18776077885952713,0.1727891156462585,0.16462585034013605,0.16391184573002754,0.16204379562043797,0.1547049441786284,0.14107142857142857,0.1402061855670103,0.1409090909090909,473,"Aberdeen, WA",msa,WA,46.975371,-123.815722
394299,0.16752577319587628,0.17419354838709677,0.1578549848942598,0.1457875457875458,0.14391143911439114,0.145044319097502,0.14150129421915444,0.13314967860422405,0.12815533980582525,0.13229571984435798,0.13706563706563707,0.1515426497277677,0.16415261756876665,0.17106382978723406,0.18151540383014156,0.18434343434343434,0.17777777777777778,0.15907059874888294,0.1464968152866242,0.1308500477554919,0.12761714855433698,0.12721893491124261,0.14066985645933014,0.1587015329125338,0.17032967032967034,0.18596491228070175,0.199486301369863,0.21585160202360876,0.22066549912434325,0.21919096895578552,0.21393034825870647,0.21686746987951808,0.21215733015494637,0.22193548387096773,0.24186704384724186,0.2756232686980609,0.27698309492847856,0.2761795166858458,0.26746724890829693,0.2523461939520334,0.23647294589178355,0.2222222222222222,0.2280334728033473,0.23582766439909297,0.24411400247831475,0.23477157360406092,0.2388451443569554,0.27994955863808324,0.3155216284987277,0.3208489388264669,0.2848557692307692,0.2531500572737686,0.23763440860215054,0.21336206896551724,0.19736842105263158,0.17172897196261683,0.1649746192893401,0.18607764390896922,0.2086230876216968,0.23390275952693823,0.22441430332922319,0.2176795580110497,0.2002063983488132,0.20059880239520958,0.19151036525172754,0.18037661050545095,0.15542521994134897,0.13789581205311544,0.12607758620689655,0.13839285714285715,251,"Abilene, TX",msa,TX,32.44645,-99.7475905
394300,0.09183673469387756,0.10091743119266056,0.08875739644970414,0.07627118644067797,0.07123287671232877,0.06521739130434782,0.07282913165266107,0.07033639143730887,0.08,0.09608540925266904,0.11538461538461539,0.12307692307692308,0.12781954887218044,0.11971830985915492,0.12413793103448276,0.11683848797250859,0.10600706713780919,0.11469534050179211,0.11428571428571428,0.11956521739130435,0.10218978102189781,0.12749003984063745,0.148,0.15,0.13716814159292035,0.1461187214611872,0.18518518518518517,0.2054794520547945,0.22026431718061673,0.21428571428571427,0.1935483870967742,0.16161616161616163,0.1774193548387097,0.16847826086956522,0.20481927710843373,0.2088607594936709,0.3157894736842105,0.29375,0.27607361963190186,0.20114942528735633,0.19289340101522842,0.19369369369369369,0.18834080717488788,0.2,0.18994413407821228,0.22674418604651161,0.23717948717948717,0.25316455696202533,0.2483221476510067,0.22424242424242424,0.23391812865497075,0.21621621621621623,0.22043010752688172,0.19444444444444445,0.16374269005847952,0.13450292397660818,0.1301775147928994,0.1564245810055866,0.1781609195402299,0.19889502762430938,0.21839080459770116,0.2127659574468085,0.21739130434782608,0.19170984455958548,0.18041237113402062,0.1457286432160804,0.15151515151515152,0.13846153846153847,0.14516129032258066,0.15384615384615385,720,"Ada, OK",msa,OK,34.7743383,-96.6783651
394302,0.17105263157894737,0.18196994991652754,0.1791277258566978,0.17287630402384502,0.1511627906976744,0.14245014245014245,0.15129682997118155,0.13425925925925927,0.10998307952622674,0.06998158379373849,0.06627680311890838,0.08630393996247655,0.09914529914529914,0.15037593984962405,0.16997167138810199,0.1755829903978052,0.16022099447513813,0.14985994397759103,0.15918958031837915,0.14580031695721077,0.13237924865831843,0.1254980079681275,0.144,0.15428571428571428,0.13253012048192772,0.14122137404580154,0.17158671586715868,0.21368948247078465,0.22448979591836735,0.22822299651567945,0.20818505338078291,0.20392156862745098,0.18577981651376146,0.21558441558441557,0.2514124293785311,0.2937853107344633,0.30177514792899407,0.2983425414364641,0.2796208530805687,0.19881889763779528,0.1468189233278956,0.10725075528700906,0.11897590361445783,0.1567291311754685,0.1629327902240326,0.19106699751861042,0.15714285714285714,0.17079889807162535,0.1588089330024814,0.1513859275053305,0.14766355140186915,0.1440677966101695,0.14630225080385853,0.13953488372093023,0.12717770034843207,0.11545988258317025,0.11294117647058824,0.12290502793296089,0.13183279742765272,0.14733542319749215,0.15838509316770186,0.1671388101983003,0.16752577319587628,0.17772511848341233,0.16630196936542668,0.15466101694915255,0.14049586776859505,0.13755458515283842,0.13592233009708737,0.1327683615819209,393,"Adrian, MI",msa,MI,41.8975152,-84.0373054
394304,0.13839489284085726,0.14821763602251406,0.14836913285600636,0.15034079844206427,0.14893203883495146,0.14423076923076922,0.1330535152151102,0.12962117754450023,0.12467866323907455,0.13032145960034752,0.1320754716981132,0.15135759676487578,0.15763157894736843,0.15768602752507582,0.15151515151515152,0.14936285773971172,0.1477439664218258,0.14556692242114236,0.13907719221517603,0.13110539845758354,0.13538700491845715,0.14589316484778864,0.16274809160305342,0.16799058546631362,0.17218543046357615,0.1851307669703203,0.20290275761973875,0.21736785329018338,0.22642500656685055,0.2477211796246649,0.25484142576480495,0.26121696373693915,0.23605150214592274,0.25924468922108573,0.2889091738931995,0.3434389140271493,0.35674418604651165,0.3511326860841424,0.3358504135203164,0.3141859727070771,0.3072609208972845,0.29288455860643636,0.30282345640707414,0.29642365887207706,0.2950884086444008,0.2983576642335766,0.31004140786749484,0.33482587064676617,0.33658536585365856,0.34076312806951264,0.3231951871657754,0.30894568690095847,0.2966235405490691,0.2845394736842105,0.2654656696125085,0.24197080291970802,0.23086522462562395,0.24587069372345446,0.2675983436853002,0.30134261561412234,0.31170731707317073,0.3252847380410023,0.3219746614242027,0.316099201345103,0.30036630036630035,0.2897196261682243,0.2795828319294023,0.2627334465195246,0.25203252032520324,0.255537547271745,83,"Akron, OH",msa,OH,41.083064,-81.518485
394305,0.06312769010043041,0.07005494505494506,0.07224334600760456,0.0711743772241993,0.07863849765258216,0.08270676691729323,0.09041835357624832,0.08513708513708514,0.08,0.08653846153846154,0.09165302782324058,0.0949367088607595,0.09662576687116564,0.08836524300441827,0.08732394366197183,0.08774373259052924,0.10547945205479452,0.11461318051575932,0.10644677661169415,0.08681672025723473,0.08135593220338982,0.08135593220338982,0.1,0.1111111111111111,0.11934900542495479,0.13680154142581888,0.17078189300411523,0.21814254859611232,0.22747747747747749,0.21140142517814728,0.1919191919191919,0.18156424581005587,0.17065868263473055,0.17378048780487804,0.1901840490797546,0.2225705329153605,0.22727272727272727,0.20477815699658702,0.18181818181818182,0.17801047120418848,0.1848341232227488,0.19845360824742267,0.18888888888888888,0.19571865443425077,0.1848184818481848,0.19172932330827067,0.2032520325203252,0.2184873949579832,0.21621621621621623,0.21476510067114093,0.19161676646706588,0.19444444444444445,0.18487394957983194,0.19540229885057472,0.1762917933130699,0.16666666666666666,0.14444444444444443,0.15891472868217055,0.18875502008032127,0.22040816326530613,0.23529411764705882,0.212,0.21505376344086022,0.21453287197231835,0.22033898305084745,0.20350877192982456,0.1952054794520548,0.17627118644067796,0.15845070422535212,0.15331010452961671,493,"Alamogordo, NM",msa,NM,32.8998822,-105.9602081
394306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017766497461928935,0.02099737532808399,295,"Albany, GA",msa,GA,31.5782062,-84.1556809
394307,0.09436619718309859,0.09681528662420383,0.10506798516687268,0.10126582278481013,0.10731132075471699,0.1003627569528416,0.09698558322411534,0.08664772727272728,0.08544303797468354,0.09328968903436989,0.09013605442176871,0.09500805152979067,0.09667194928684628,0.09815078236130868,0.11198945981554677,0.11439114391143912,0.11407766990291263,0.09135200974421437,0.07512953367875648,0.05907172995780591,0.05337519623233909,0.05432937181663837,0.06545454545454546,0.07243816254416961,0.06879194630872483,0.07476635514018691,0.08166409861325115,0.08801213960546282,0.07981220657276995,0.07006369426751592,0.05977382875605816,0.06451612903225806,0.06871609403254973,,0.23582766439909297,0.3129251700680272,0.2943722943722944,0.2974559686888454,0.31477927063339733,0.31947069943289225,0.3140794223826715,0.2913793103448276,0.281786941580756,0.28346456692913385,0.2927400468384075,0.31444759206798867,0.3076923076923077,0.3118279569892473,0.3058823529411765,0.30387931034482757,0.27852998065764023,0.23885918003565063,0.22146507666098808,0.1996527777777778,0.1977818853974122,0.174,0.16778523489932887,0.17733990147783252,0.19121447028423771,0.22524752475247525,0.23002421307506055,0.23820754716981132,0.2199546485260771,0.21367521367521367,0.1975560081466395,0.19175257731958764,0.17118997912317327,0.16780045351473924,0.15538847117794485,0.15760869565217392,330,"Albany, OR",msa,OR,44.6365071,-123.1059324
394308,0.1606822262118492,0.16872649113379903,0.16268544128740256,0.15922190201729106,0.15422038433471175,0.14268112370625924,0.13202317964222726,0.12090813093980993,0.11727140783744558,0.11593740019163207,0.12444595976815548,0.14407894736842106,0.1600496277915633,0.170873786407767,0.17688494651708844,0.1735474006116208,0.1627242006758513,0.15465822116653472,0.1529219006007646,0.1537091988130564,0.14703856749311295,0.14890282131661442,0.16877104377104377,0.1895397489539749,0.17631224764468373,0.18494055482166447,0.216260162601626,0.25573888091822095,0.26716774854800135,0.25740868366643693,0.2522393407380867,0.24003158310303987,0.23037383177570092,0.22679900744416873,0.24490835030549898,0.27835497835497836,0.29658086822896657,0.29645879034785333,0.28393389325386076,0.2696821515892421,0.2596491228070175,0.25478468899521534,0.25112669003505256,0.2568956192536506,0.24724756212645485,0.2511177347242921,0.24513274336283186,0.27307692307692305,0.2796281951975213,0.2828083989501312,0.26632449386940404,0.25496952027564274,0.24625492772667543,0.23774852982357883,0.23162845385067607,0.2177864329763064,0.2128768142910309,0.21481481481481482,0.2284215546018121,0.250945179584121,0.2601182355616189,0.2781065088757396,0.28264331210191085,0.28261711188540456,0.2732115677321157,0.25675161658425255,0.25105082155139474,0.23300573300573302,0.22695035460992907,0.23031283710895362,64,"Albany, NY",msa,NY,42.6511674,-73.754968
