RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
394471,163,"Clarksville, TN",msa,TN,159111.0,158217.0,157852.0,157557.0,158910.0,159190.0,162332.0,162140.0,166704.0,167199.0,168338.0,168678.0,169467.0,170246.0,167526.0,168924.0,170509.0,174560.0,174381.0,174152.0,177060.0,178892.0,181595.0,183500.0,187893.0,191535.0,194612.0,196892.0,199404.0,199393.0,200441.0,199764.0,207471.0,213930.0,223130.0,223612.0,225926.0,227987.0,235153.0,240030.0,240967.0,240985.0,247129.0,257768.0,263213.0,266510.0,270180.0,271470.0,268813.0,262775.0,264067.0,264946.0,264141.0,265658.0,263329.0,266927.0,264828.0,269148.0,272621.0,273893.0,274204.0,270091.0,269783.0,267652.0,267973.0,269178.0,274457.0
395028,164,"Roanoke, VA",msa,VA,164012.0,164707.0,168094.0,167205.0,168066.0,167094.0,171589.0,171973.0,174094.0,175432.0,174956.0,175470.0,178430.0,176686.0,177420.0,180233.0,185156.0,189776.0,187759.0,192833.0,190418.0,189156.0,186301.0,190344.0,198004.0,208549.0,214792.0,219101.0,217012.0,213503.0,208032.0,205955.0,204369.0,208417.0,207688.0,211027.0,211147.0,220243.0,227019.0,229025.0,229872.0,226537.0,227290.0,222462.0,226244.0,234593.0,242725.0,246176.0,244093.0,240654.0,238929.0,234581.0,230214.0,231469.0,234061.0,242120.0,237519.0,237484.0,239087.0,246130.0,247808.0,246126.0,248560.0,250977.0,255578.0,250832.0,254087.0
394579,165,"Evansville, IN",msa,IN,138992.0,138242.0,139404.0,142555.0,143817.0,141178.0,140656.0,140719.0,143207.0,144983.0,142590.0,143646.0,146480.0,152389.0,154016.0,154730.0,152760.0,156607.0,158913.0,154383.0,149221.0,144386.0,149521.0,151655.0,157787.0,162033.0,164593.0,163799.0,162625.0,166425.0,168235.0,174678.0,174954.0,174396.0,173149.0,174273.0,180834.0,179032.0,180398.0,176669.0,180499.0,176071.0,178156.0,175867.0,181101.0,181632.0,185626.0,182309.0,181756.0,177792.0,182635.0,181544.0,176145.0,170890.0,174001.0,182509.0,187390.0,192266.0,198627.0,205178.0,203489.0,197416.0,195460.0,193522.0,196316.0,194443.0,200071.0
394747,167,"Kingsport, TN",msa,TN,127069.0,127649.0,129764.0,128914.0,127266.0,128753.0,131274.0,134615.0,134510.0,132912.0,132453.0,132067.0,136398.0,137288.0,143702.0,146245.0,145921.0,146306.0,142624.0,145232.0,141620.0,142150.0,142912.0,145597.0,150637.0,152221.0,153444.0,157825.0,158815.0,161459.0,158537.0,160547.0,160602.0,164431.0,163405.0,165088.0,165583.0,165067.0,167582.0,169202.0,174754.0,173635.0,171177.0,170748.0,173571.0,183078.0,184988.0,188509.0,186368.0,186715.0,186952.0,182475.0,184740.0,187156.0,197782.0,194663.0,194508.0,193602.0,202851.0,211152.0,216720.0,217792.0,215771.0,209042.0,206726.0,205527.0,204301.0
394741,168,"Kennewick, WA",msa,WA,269026.0,273799.0,272356.0,270377.0,264420.0,265477.0,266474.0,271337.0,272760.0,278129.0,289189.0,293595.0,296142.0,293948.0,297194.0,296859.0,298763.0,295505.0,292971.0,291510.0,295968.0,300221.0,300413.0,308811.0,310630.0,318525.0,315415.0,320694.0,316100.0,317745.0,314921.0,322990.0,323889.0,336419.0,345206.0,360188.0,366793.0,369888.0,372030.0,368401.0,372501.0,379344.0,390231.0,396978.0,401662.0,402385.0,404768.0,406159.0,406444.0,407943.0,407170.0,402048.0,397723.0,390436.0,393966.0,392178.0,389001.0,388287.0,394865.0,405165.0,410939.0,407990.0,407834.0,406038.0,403322.0,404894.0,405851.0
395179,169,"Utica, NY",msa,NY,115844.0,117270.0,117309.0,119709.0,120340.0,122424.0,123564.0,123220.0,121975.0,119318.0,124008.0,123701.0,125500.0,123396.0,129942.0,132471.0,133896.0,131869.0,129684.0,131869.0,132000.0,135080.0,135416.0,136766.0,136623.0,137053.0,141436.0,145765.0,147382.0,146419.0,148586.0,150714.0,156029.0,159173.0,158098.0,156537.0,155305.0,160350.0,164661.0,164321.0,164638.0,166700.0,169891.0,170805.0,169011.0,168714.0,167737.0,167525.0,172340.0,175256.0,178648.0,175505.0,173521.0,172236.0,174170.0,175621.0,176122.0,171357.0,173860.0,176503.0,183491.0,187200.0,179908.0,182623.0,180949.0,190690.0,192372.0
394660,170,"Hagerstown, MD",msa,MD,178211.0,176466.0,178066.0,172384.0,177742.0,178815.0,181452.0,178428.0,177071.0,178325.0,180777.0,182575.0,183396.0,183988.0,183540.0,185027.0,188020.0,188162.0,192470.0,194753.0,201731.0,200191.0,201978.0,203953.0,207648.0,211693.0,213830.0,215970.0,213671.0,214800.0,213735.0,218628.0,220281.0,221045.0,221180.0,223626.0,230827.0,234230.0,238712.0,240419.0,244984.0,245155.0,249510.0,254286.0,258418.0,260216.0,257187.0,258856.0,254379.0,255051.0,250993.0,253853.0,255841.0,256037.0,256740.0,256633.0,263360.0,268707.0,271549.0,270738.0,271527.0,268852.0,269738.0,271968.0,275872.0,276073.0,281817.0
394543,171,"Duluth, MN",msa,MN,152441.0,153267.0,151551.0,153105.0,154839.0,157180.0,157870.0,161397.0,161807.0,163205.0,159763.0,159718.0,158387.0,155489.0,157208.0,158023.0,157700.0,153783.0,156148.0,162095.0,172661.0,174835.0,174576.0,170607.0,170317.0,175255.0,179348.0,183906.0,184967.0,189360.0,185278.0,181272.0,178499.0,183139.0,188851.0,188466.0,194863.0,199536.0,204473.0,203724.0,201034.0,194938.0,192871.0,203663.0,209957.0,218492.0,214299.0,220404.0,215947.0,216634.0,214643.0,213133.0,208082.0,201784.0,209283.0,207081.0,215864.0,214823.0,227362.0,229762.0,232162.0,232404.0,237620.0,232494.0,229258.0,222982.0,223880.0
394937,172,"Olympia, WA",msa,WA,296193.0,290990.0,295632.0,293702.0,300494.0,303264.0,307373.0,313863.0,315205.0,320382.0,320004.0,320197.0,321603.0,324705.0,328333.0,329186.0,326442.0,333585.0,337179.0,344107.0,344306.0,347884.0,350925.0,356863.0,363579.0,372176.0,377947.0,381793.0,385487.0,392374.0,402592.0,412353.0,419733.0,423502.0,431467.0,436180.0,444264.0,447512.0,455270.0,455545.0,462744.0,463476.0,472140.0,478603.0,491729.0,504472.0,505940.0,501411.0,489126.0,483045.0,483525.0,477249.0,479082.0,470336.0,473248.0,471254.0,475956.0,482774.0,488195.0,489005.0,496593.0,492744.0,495311.0,495815.0,502799.0,508300.0,502902.0
394803,173,"Longview, TX",msa,TX,160023.0,155187.0,152639.0,155480.0,161483.0,166166.0,168579.0,166640.0,168162.0,168967.0,174884.0,173254.0,173642.0,164979.0,163215.0,162656.0,168123.0,165949.0,164153.0,165600.0,168421.0,171594.0,175315.0,175873.0,178148.0,179712.0,186417.0,191693.0,188340.0,189752.0,188487.0,197709.0,199483.0,201719.0,202584.0,206100.0,212173.0,212755.0,216313.0,217065.0,225138.0,220824.0,221964.0,227225.0,236460.0,238822.0,237411.0,236433.0,237145.0,232149.0,232041.0,232265.0,237312.0,233248.0,234308.0,228023.0,233951.0,230876.0,237742.0,243832.0,237669.0,239866.0,236458.0,245437.0,236160.0,234775.0,233146.0
395229,174,"Wilmington, NC",msa,NC,231952.0,231925.0,234689.0,232106.0,227656.0,231066.0,230342.0,233595.0,230095.0,233489.0,236455.0,240772.0,243647.0,252527.0,250341.0,257917.0,252245.0,254278.0,255821.0,261679.0,263873.0,254206.0,253233.0,269592.0,285039.0,291149.0,287750.0,289573.0,291819.0,292072.0,290799.0,294845.0,292843.0,296848.0,299136.0,307673.0,309944.0,316307.0,318232.0,326615.0,327530.0,342724.0,344103.0,349051.0,354339.0,365095.0,375836.0,377420.0,378701.0,371511.0,368717.0,365355.0,364081.0,361406.0,369930.0,377927.0,384393.0,387434.0,396137.0,400497.0,402389.0,394444.0,396034.0,401761.0,415136.0,419723.0,419797.0
395061,175,"San Luis Obispo, CA",msa,CA,571563.0,585119.0,576311.0,574200.0,573065.0,581234.0,581661.0,577727.0,585395.0,579958.0,587456.0,582237.0,586403.0,583245.0,583659.0,585521.0,584048.0,595255.0,604835.0,606679.0,589958.0,572296.0,576597.0,581745.0,610307.0,620826.0,644172.0,657203.0,667892.0,671464.0,660737.0,663095.0,679846.0,698235.0,714338.0,716261.0,728698.0,723679.0,733241.0,734249.0,746780.0,768096.0,783282.0,799877.0,799451.0,818229.0,835606.0,835312.0,820457.0,803326.0,789248.0,802628.0,805371.0,797253.0,784745.0,791156.0,804659.0,808348.0,803728.0,811332.0,810405.0,809869.0,828054.0,837902.0,838026.0,823293.0,834462.0
